id,x,y,z
0,0.3,0,0
1,0.25,0,0
2,0.2,0,0
3,0.15,0,0
4,0.1,0,0
5,0.05,0,0
6,0,0,0
7,0.3,0.05,0
8,0.25,0.05,0
9,0.2,0.05,0
10,0.15,0.05,0
11,0.1,0.05,0
12,0.05,0.05,0
13,0,0.05,0
14,0.3,0.1,0
15,0.25,0.1,0
16,0.2,0.1,0
17,0.15,0.1,0
18,0.1,0.1,0
19,0.05,0.1,0
20,0,0.1,0
